codigo,descripcion,categoria,archivo_foto
391,"PUNTA MONTADA 391 DE 3/4""x 2 1/2""  TIPO A-1",Soldadura y abrasivos,391.webp
392,"PUNTA MONTADA 392  DE 1""X 2 3/4""  TIPO A-3",Soldadura y abrasivos,392.webp
398,"PUNTA MONTADA 398  DE 1/4""X 1""  TIPO A-15",Soldadura y abrasivos,398.webp
405,"PUNTA MONTADA 405  DE 1 1/2"" X3/8""  TIPO A-36",Soldadura y abrasivos,405.webp
406,"PUNTA MONTADA 406  DE1 1/4""  X  1/4 TIPO A-37",Soldadura y abrasivos,406.webp
902,"RUEDA FLAP 902 DE 1"" X  1/2"" GRANO 80",Soldadura y abrasivos,902.webp
906,"RUEDA FLAP 906 DE 1"" X 1"" GRANO 80",Soldadura y abrasivos,906.webp
910,"RUEDA FLAP 910 DE 2"" X 1/2"" GRANO 80",Soldadura y abrasivos,910.webp
919,"RUEDA FLAP 919 DE 2"" X 1"" GRANO 80",Soldadura y abrasivos,919.webp
923,"RUEDA FLAP 923 DE 3"" X 1/2"" GRANO 80",Soldadura y abrasivos,923.webp
930,"RUEDA FLAP 930 DE 3"" X 1"" GRANO 80",Soldadura y abrasivos,930.webp
934,"RUEDA FLAP 934  DE 2"" X1 1/2"" GRANO 80",Soldadura y abrasivos,934.webp
A6X38,"ANGULO 1/4 X 1 1/2""",Macizos,A6X38.webp
A6X32,"ANGULO 1/4 X 1 1/4""",Macizos,A6X32.webp
A6X50,"ANGULO 1/4 X 2""",Macizos,A6X50.webp
A6X100,"ANGULO 1/4 X 4""",Macizos,A6X100.webp
A6X64,"ANGULO 1/4"" X 2"" 1/2",Macizos,A6X64.webp
A6X75,"ANGULO 1/4"" X 3""",Macizos,A6X75.webp
A3X38L,"ANGULO 1/8"" X 1 1/2"" LIGERO",Macizos,A3X38L.webp
A3X25L,"ANGULO 1/8"" X 1"" LIGERO",Macizos,A3X25L.webp
A3X25P,"ANGULO 1/8"" X 1"" PESADO",Macizos,A3X25P.webp
A3X32L,"ANGULO 1/8"" X 1""1/4 LIGERO",Macizos,A3X32L.webp
A3X50L,"ANGULO 1/8"" X 2""",Macizos,A3X50L.webp
A3X19,"ANGULO 1/8"" X 3/4""",Macizos,A3X19.webp
A5X38,"ANGULO 3/16"" X 1 1/2""",Macizos,A5X38.webp
A5X32,"ANGULO 3/16"" X 1 1/4""",Macizos,A5X32.webp
A5X44,"ANGULO 3/16"" X 1 3/4""",Macizos,A5X44.webp
A5X25,"ANGULO 3/16"" X 1""",Macizos,A5X25.webp
A5X50,"ANGULO 3/16"" X 2""",Macizos,A5X50.webp
A5X64,"ANGULO 3/16"" X 2""1/2",Macizos,A5X64.webp
CANAL150,"CANAL ""U ""6"" 6.10 (12.2 KG/MT)",Perfiles estructurales,CANAL150.webp
CANALU75-5.3KG/MTS,"CANAL ""U"" 3"" 6.10 (5.30KG/MTS)",Perfiles estructurales,CANALU75-5-3KG-MTS.webp
CANALU75,"CANAL ""U"" 3"" 6.10 (6.03 KG/ML)",Perfiles estructurales,CANALU75.webp
CANALUL,"CANAL ""U"" 4"" 6.10 MTS.(6.70 KG/ML)",Perfiles estructurales,CANALUL.webp
CANALU100,"CANAL ""U"" 4"" 6.10 MTS.(8.19 KG/ML)",Perfiles estructurales,CANALU100.webp
CANALU,"CANAL ""U"" 6"" (15.63KG./MTS)",Perfiles estructurales,CANALU.webp
CT13,"CARAMELO 1/2""",Perfiles estructurales,CT13.webp
CT10,"CARAMELO 3/8""",Perfiles estructurales,CT10.webp
CT16,"CARAMELO 5/8""",Perfiles estructurales,CT16.webp
CL38,"CUADRADO 1 1/2"" MACIZO",Macizos,CL38.webp
CL32,"CUADRADO 1 1/4"" MACIZO",Macizos,CL32.webp
CL25,"CUADRADO 1"" MACIZO",Macizos,CL25.webp
CL13,"CUADRADO 1/2""",Macizos,CL13.webp
CL6,"CUADRADO 1/4""",Macizos,CL6.webp
CL50,"CUADRADO 2"" MACIZO",Macizos,CL50.webp
CL19,"CUADRADO 3/4""",Macizos,CL19.webp
CL10,"CUADRADO 3/8""",Macizos,CL10.webp
CL16,"CUADRADO 5/8""",Macizos,CL16.webp
CUAE,CUADRADO ESTRELLA,Macizos,CUAE.webp
RED25,"REDONDO 1""",Macizos,RED25.webp
RED13,"REDONDO 1/2""",Macizos,RED13.webp
RED6,"REDONDO 1/4""",Macizos,RED6.webp
RED5,"REDONDO 3/16""",Macizos,RED5.webp
RED19,"REDONDO 3/4""",Macizos,RED19.webp
RED10,"REDONDO 3/8""",Macizos,RED10.webp
RED8,"REDONDO 5/16""",Macizos,RED8.webp
RED16,"REDONDO 5/8""",Macizos,RED16.webp
RED38,"REDONDO DE 1 1/2""",Macizos,RED38.webp
RED32,"REDONDO DE 1 1/4""",Macizos,RED32.webp
RED50,"REDONDO DE 2""",Macizos,RED50.webp
RED10P,"REDONDO PULIDO 3/8""",Macizos,RED10P.webp
SOL13X38,"SOLERA 1/2"" X 1 1/2""",Perfiles estructurales,SOL13X38.webp
SOL13X25,"SOLERA 1/2"" X 1""",Perfiles estructurales,SOL13X25.webp
SOL13X64,"SOLERA 1/2"" X 2 1/2""",Perfiles estructurales,SOL13X64.webp
SOL13X50,"SOLERA 1/2"" X 2""",Perfiles estructurales,SOL13X50.webp
SOL13X75,"SOLERA 1/2"" X 3""",Perfiles estructurales,SOL13X75.webp
SOL6X38,"SOLERA 1/4 X 1 1/2""",Perfiles estructurales,SOL6X38.webp
SOL6X32,"SOLERA 1/4 X 1 1/4""",Perfiles estructurales,SOL6X32.webp
SOL6X25,"SOLERA 1/4 X 1""",Perfiles estructurales,SOL6X25.webp
SOL6X13,"SOLERA 1/4 X 1/2""",Perfiles estructurales,SOL6X13.webp
SOL6X50,"SOLERA 1/4 X 2""",Perfiles estructurales,SOL6X50.webp
SOL6X75,"SOLERA 1/4 X 3""",Perfiles estructurales,SOL6X75.webp
SOL6X19,"SOLERA 1/4 X 3/4""",Perfiles estructurales,SOL6X19.webp
SOL6X100,"SOLERA 1/4 X 4""",Perfiles estructurales,SOL6X100.webp
SOL6X150,"SOLERA 1/4"" X 6""",Perfiles estructurales,SOL6X150.webp
SOL3X38,"SOLERA 1/8 X 1 1/2""",Perfiles estructurales,SOL3X38.webp
SOL3X32,"SOLERA 1/8 X 1 1/4""",Perfiles estructurales,SOL3X32.webp
SOL3X25,"SOLERA 1/8 X 1""",Perfiles estructurales,SOL3X25.webp
SOL3X13,"SOLERA 1/8 X 1/2""",Perfiles estructurales,SOL3X13.webp
SOL3X50,"SOLERA 1/8 X 2""",Perfiles estructurales,SOL3X50.webp
SOL3X19,"SOLERA 1/8 X 3/4""",Perfiles estructurales,SOL3X19.webp
SOL5X38,"SOLERA 3/16 X 1 1/2""",Perfiles estructurales,SOL5X38.webp
SOL5X32,"SOLERA 3/16 X 1 1/4""",Perfiles estructurales,SOL5X32.webp
SOL5X25,"SOLERA 3/16 X 1""",Perfiles estructurales,SOL5X25.webp
SOL5X13,"SOLERA 3/16 X 1/2""",Perfiles estructurales,SOL5X13.webp
SOL5X50,"SOLERA 3/16 X 2""",Perfiles estructurales,SOL5X50.webp
sol5x75,"SOLERA 3/16 X 3""",Perfiles estructurales,SOL5X75.webp
SOL4X19,"SOLERA 3/16 X 3/4""",Perfiles estructurales,SOL4X19.webp
SOL5X64,"SOLERA 3/16"" X 2""1/2",Perfiles estructurales,SOL5X64.webp
SOL10X50,"SOLERA 3/8 X 2""",Perfiles estructurales,SOL10X50.webp
SOL10X38,"SOLERA 3/8"" X 1 1/2""",Perfiles estructurales,SOL10X38.webp
SOL10X75,"SOLERA 3/8"" X 3""",Perfiles estructurales,SOL10X75.webp
SOL10X100,"SOLERA 3/8"" X 4""",Perfiles estructurales,SOL10X100.webp
TEEFO25,"TEE  FIERRO 1""",Tuberia y conexiones,TEEFO25.webp
FIG-C2,"FIGURA DE CUADRADO 1/2"" C-2",Acero (barra y placa),FIG-C2.webp
TERMP01,TERMINAL PASAMANOS 01,"Herrería, forja y herrajes",TERMP01.webp
ADORNO,ADORNO FLORAL ( CHICO ),Forja artistica,ADORNO.webp
ANGD,ANGEL FO.CO DERECHO,"Herrería, forja y herrajes",ANGD.webp
ANGI,ANGEL FO.CO IZQUIERDO,"Herrería, forja y herrajes",ANGI.webp
ARCO,ARCO P/SEGUETA REFORZADO MOD.1,Herramienta manual,ARCO.webp
BOTONRFC,BOTON DE ROSA FO.CO,"Herrería, forja y herrajes",BOTONRFC.webp
CABALLITO,CABALLITO DE MAR,Forja artistica,CABALLITO.webp
CHAPLACH,CHAPETON LATON CHICO 46 MM,Seguridad (EPP),CHAPLACH.webp
CHALACHL,CHAPETON LATON CHICO LISO 46 MM,Acero (barra y placa),CHALACHL.webp
CHAPLAGD,CHAPETON LATON GRANDE 70 MM,Seguridad (EPP),CHAPLAGD.webp
CHAPLAGDEL,CHAPETON LATON GRANDE LISO 70 MM,Acero (barra y placa),CHAPLAGDEL.webp
CHAPLAME,CHAPETON LATON MEDIANO 50 MM,Seguridad (EPP),CHAPLAME.webp
CHAPLAMEL,CHAPETON LATON MEDIANO LISO 50 MM,Acero (barra y placa),CHAPLAMEL.webp
CHAPLAMI,CHAPETON LATON MINI 40 MM,Seguridad (EPP),CHAPLAMI.webp
CUALAS13,"CUELLO ALAS 1/2""",Tuberia y conexiones,CUALAS13.webp
CUAZTECA13,"CUELLO AZTECA  P/CUAD. 1/2""",Tuberia y conexiones,CUAZTECA13.webp
CUMOS13,CUELLO MOSCA P/RED. 1/2,Tuberia y conexiones,CUMOS13.webp
CUROSA13,"CUELLO ROSA P/CUAD. 1/2""",Tuberia y conexiones,CUROSA13.webp
ECLAZTE,ECLIPSE AZTECA,Perfiles estructurales,ECLAZTE.webp
ECLCHFC,ECLIPSE CHICO FO.CO,Perfiles estructurales,ECLCHFC.webp
ESTCHFC,ESTRELLA CHICA FO.CO,"Herrería, forja y herrajes",ESTCHFC.webp
ESTG,ESTRELLA GRANDE,"Herrería, forja y herrajes",ESTG.webp
FIGFCE,FIGURA FO CO. ESCALERA,Forja artistica,FIGFCE.webp
FIGFCM,FIGURA FO.CO MARGARITA,Forja artistica,FIGFCM.webp
FIGFCP/C,"FIGURA FO.CO P/CUA 1/2""",Forja artistica,FIGFCP-C.webp
FIGFCP/R,"FIGURA FO.CO P/RED 1/2""",Forja artistica,FIGFCP-R.webp
FIGFCR,"FIGURA FO.CO ROSAS P/CUA. 1/2""",Forja artistica,FIGFCR.webp
FIGFCUVA,FIGURA FO.CO. DE UVAS,Forja artistica,FIGFCUVA.webp
FIGFCP/R16,"FIGURA FO.CO. P/RED 5/8""",Forja artistica,FIGFCP-R16.webp
FALC1,FLOR DE ALCATRAZ S/ TALLO CH.,"Herrería, forja y herrajes",FALC1.webp
FLORMARG,FLOR DE MARGARITA,"Herrería, forja y herrajes",FLORMARG.webp
GALLOFC,GALLO FO.CO (REYES-JUGA),"Herrería, forja y herrajes",GALLOFC.webp
HERRCH,HERRADURA CHICA FO.FO( 15 L X 13 A ),"Herrería, forja y herrajes",HERRCH.webp
HERRGDE,HERRADURA GRANDE FO.CO.(45 L X  42 A ),"Herrería, forja y herrajes",HERRGDE.webp
HLIRA,HOJA DE LIRA,Herramienta manual,HLIRA.webp
JALALU,"JALADERA ALUMINIO P/VENT. ORO, BCA Y NATURAL",Herrajes,JALALU.webp
JALELECTROB,JALADERA COLONIAL BEIGE,Forja artistica,JALELECTROB.webp
JALELECTROC,JALADERA COLONIAL COBRE,Forja artistica,JALELECTROC.webp
JAL-CLT,JALADERA COLONIAL MEDIA CAÑA ORO,Forja artistica,JAL-CLT.webp
