id,codigo,descripcion,categoria,subcategoria,medidas,foto,proveedor
A6X100,A6X100,"ANGULO 1/4 X 4""",Macizos,Angulo,"4"" 4 X 4 1/4",A6X100.webp,
A6X64,A6X64,"ANGULO 1/4"" X 2"" 1/2",Macizos,Angulo,"1/4"" 2"" 1/4 1/2",A6X64.webp,
A6X75,A6X75,"ANGULO 1/4"" X 3""",Macizos,Angulo,"1/4"" 3"" 1/4",A6X75.webp,
A3X38L,A3X38L,"ANGULO 1/8"" X 1 1/2"" LIGERO",Macizos,Angulo,"1/8"" 1 1/2"" 1/8 1/2",A3X38L.webp,
A3X25L,A3X25L,"ANGULO 1/8"" X 1"" LIGERO",Macizos,Angulo,"1/8"" 1"" 1/8",A3X25L.webp,
A3X25P,A3X25P,"ANGULO 1/8"" X 1"" PESADO",Macizos,Angulo,"1/8"" 1"" 1/8",A3X25P.webp,
A3X32L,A3X32L,"ANGULO 1/8"" X 1""1/4 LIGERO",Macizos,Angulo,"1/8"" 1"" 1/8 1/4",A3X32L.webp,
A3X50L,A3X50L,"ANGULO 1/8"" X 2""",Macizos,Angulo,"1/8"" 2"" 1/8",A3X50L.webp,
A3X19,A3X19,"ANGULO 1/8"" X 3/4""",Macizos,Angulo,"1/8"" 3/4"" 1/8 3/4",A3X19.webp,
A5X38,A5X38,"ANGULO 3/16"" X 1 1/2""",Macizos,Angulo,"3/16"" 1 1/2"" 3/16 1/2",A5X38.webp,
A5X32,A5X32,"ANGULO 3/16"" X 1 1/4""",Macizos,Angulo,"3/16"" 1 1/4"" 3/16 1/4",A5X32.webp,
A5X44,A5X44,"ANGULO 3/16"" X 1 3/4""",Macizos,Angulo,"3/16"" 1 3/4"" 3/16 3/4",A5X44.webp,
A5X25,A5X25,"ANGULO 3/16"" X 1""",Macizos,Angulo,"3/16"" 1"" 3/16",A5X25.webp,
