"﻿""proveedor""",codigo,descripcion,categoria
"INFRA, S.A DE C.V",MICA2.5D,MICA TRANSP. 2.5 AUM. DIOPT. (8530),Seguridad (EPP)
"INFRA, S.A DE C.V",MICA1.5D,MICA TRANSP. AUM. 1.5 DIOPT. (8529),Seguridad (EPP)
"INTERNACIONAL TOOL COMPANY, S.A DE C.V",AXT-BORNEHEM1/2,"BORNE HEMBRA 1/2"" (AX-TECH)",Soldadura (consumibles)
"INTERNACIONAL TOOL COMPANY, S.A DE C.V",AXT-BORNEHEM3/8,"BORNE HEMBRA 3/8"" (AX-TECH)",Soldadura (consumibles)
LAMINAS Y PERFILES ECOLOGICOS DE MEXICO,CLIP LAM,CLIP LAMBRIN (865274),Lámina y cubiertas
LAMINAS Y PERFILES ECOLOGICOS DE MEXICO,LI14-8051BH,LAMBRIN INT. GRIS PERLA  8051  2.90 MT. (875723),Lámina y cubiertas
LAMINAS Y PERFILES ECOLOGICOS DE MEXICO,LI14-8011NO,LAMBRIN INT. NOGAL  8011  2.90 MT. (695840),Lámina y cubiertas
LAMINAS Y PERFILES ECOLOGICOS DE MEXICO,LI14-8018OX,LAMBRIN INT. OXFORD 8018  2.90 MT. (629258),Lámina y cubiertas
LAMINAS Y PERFILES ECOLOGICOS DE MEXICO,LI14-8019PINO,LAMBRIN INT. PINO 8019  2.90 MT. (654403),Lámina y cubiertas
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V",ANTGEL,GEL ANTICHISPAS,Pintura y químicos
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V",ANTGEL400GRS,GEL ANTICHISPAS 400 GRS ( RF500919),Pintura y químicos
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V",GIS,GIS (WT52895),Soldadura (consumibles)
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V",PGIS,PORTA GIS WYP-400-1 CON GIS (WT52895),Soldadura (consumibles)
"LINCOLN ELECTRIC MANUFACTURA, S.A DE C.V",PM36KG,POSICIONADOR MAGNETICO 36 KGS.(WT53880),Soldadura (consumibles)
MOISES JUAREZ MORALES,082A,"REG 1 "" HONGO PLASTICO  (082A)",Tubería y conexiones
MOISES JUAREZ MORALES,031A,REG 1 1/2 BARRIL HULE  (031A),Tubería y conexiones
MOISES JUAREZ MORALES,084A,REG 1 1/2 HONGO PLASTICO (084A),Tubería y conexiones
MOISES JUAREZ MORALES,030A,REG 1 1/4 BARRIL HULE (030A),Tubería y conexiones
MOISES JUAREZ MORALES,083A,REG 1 1/4 HONGO PLASTICO 083A),Tubería y conexiones
MOISES JUAREZ MORALES,029A,"REG 1"" BARRIL HULE  (029A)",Tubería y conexiones
