"fila","proveedor","codigo","descripcion","existencia"
"148","ABRASIVOS ESPECIALES, S.A DE C.V","2746","HOJA LIJA 2746  GRANO 240","50"
"149","ABRASIVOS ESPECIALES, S.A DE C.V","2747","HOJA LIJA 2747 GRANO 280","0"
"150","ABRASIVOS ESPECIALES, S.A DE C.V","2748","HOJA LIJA 2748  GRANO 320","0"
"151","ABRASIVOS ESPECIALES, S.A DE C.V","2750","HOJA LIJA 2750 GRANO 400","0"
"152","ABRASIVOS ESPECIALES, S.A DE C.V","2752","HOJA LIJA 2752 GRANO 600","0"
"153","ABRASIVOS ESPECIALES, S.A DE C.V","2999","KIT DE DISCOS AUSTROMEX","0"
"154","ABRASIVOS ESPECIALES, S.A DE C.V","L1973","LIJA FINA  P/FO. 1973","0"
"155","ABRASIVOS ESPECIALES, S.A DE C.V","L1971","LIJA GRUESA P/FO. 1971","0"
"156","ABRASIVOS ESPECIALES, S.A DE C.V","L1972","LIJA MEDIANA  P/FO. 1972","0"
"157","ABRASIVOS ESPECIALES, S.A DE C.V","102","LIMA ROTATIVA 102 1/2""X 1""","0"
"158","ABRASIVOS ESPECIALES, S.A DE C.V","105","LIMA ROTATIVA 105  1/4"" X 5/8""","0"
"160","ABRASIVOS ESPECIALES, S.A DE C.V","107","LIMA ROTATIVA 107 1/2""X 1""","0"
"161","ABRASIVOS ESPECIALES, S.A DE C.V","120","LIMA ROTATIVA 120 1/2""X 1""","0"
"162","ABRASIVOS ESPECIALES, S.A DE C.V","122","LIMA ROTATIVA 122 1/2""X 1""","0"
"163","ABRASIVOS ESPECIALES, S.A DE C.V","124","LIMA ROTATIVA 124 1/2""X1""1/8""","0"
"164","ABRASIVOS ESPECIALES, S.A DE C.V","125","LIMA ROTATIVA 125 1/2""X 7/8""","0"
"165","ABRASIVOS ESPECIALES, S.A DE C.V","136","LIMA ROTATIVA 136 1/2"" X 1 1/4""","0"
"166","ABRASIVOS ESPECIALES, S.A DE C.V","2462","LIQUIDO LIMPIADOR DE OXIDO 250 ML (2462)","0"
"167","ABRASIVOS ESPECIALES, S.A DE C.V","2442","PASTA LIMPIADORA INOX POLISH 75 ML (2442)","0"
"168","ABRASIVOS ESPECIALES, S.A DE C.V","2444","PASTA P/PULIR METALES 75 ML (2444)","0"
"169","ABRASIVOS ESPECIALES, S.A DE C.V","391","PUNTA MONTADA 391 DE 3/4""x 2 1/2""  TIPO A-1","0"
"170","ABRASIVOS ESPECIALES, S.A DE C.V","392","PUNTA MONTADA 392  DE 1""X 2 3/4""  TIPO A-3","0"
"171","ABRASIVOS ESPECIALES, S.A DE C.V","398","PUNTA MONTADA 398  DE 1/4""X 1""  TIPO A-15","0"
"172","ABRASIVOS ESPECIALES, S.A DE C.V","405","PUNTA MONTADA 405  DE 1 1/2"" X3/8""  TIPO A-36","0"
"173","ABRASIVOS ESPECIALES, S.A DE C.V","406","PUNTA MONTADA 406  DE1 1/4""  X  1/4 TIPO A-37","0"
"174","ABRASIVOS ESPECIALES, S.A DE C.V","902","RUEDA FLAP 902 DE 1"" X  1/2"" GRANO 80","0"
"175","ABRASIVOS ESPECIALES, S.A DE C.V","906","RUEDA FLAP 906 DE 1"" X 1"" GRANO 80","0"
"176","ABRASIVOS ESPECIALES, S.A DE C.V","910","RUEDA FLAP 910 DE 2"" X 1/2"" GRANO 80","0"
"177","ABRASIVOS ESPECIALES, S.A DE C.V","919","RUEDA FLAP 919 DE 2"" X 1"" GRANO 80","0"
"178","ABRASIVOS ESPECIALES, S.A DE C.V","923","RUEDA FLAP 923 DE 3"" X 1/2"" GRANO 80","0"
"179","ABRASIVOS ESPECIALES, S.A DE C.V","930","RUEDA FLAP 930 DE 3"" X 1"" GRANO 80","0"
"180","ABRASIVOS ESPECIALES, S.A DE C.V","934","RUEDA FLAP 934  DE 2"" X1 1/2"" GRANO 80","0"
"182","ACEROS CORSA, S.A DE C.V","A6X38","ANGULO 1/4 X 1 1/2""","0"
"183","ACEROS CORSA, S.A DE C.V","A6X32","ANGULO 1/4 X 1 1/4""","0"
"184","ACEROS CORSA, S.A DE C.V","A6X50","ANGULO 1/4 X 2""","0"
"185","ACEROS CORSA, S.A DE C.V","A6X100","ANGULO 1/4 X 4""","0"
"186","ACEROS CORSA, S.A DE C.V","A6X64","ANGULO 1/4"" X 2"" 1/2","55"
"187","ACEROS CORSA, S.A DE C.V","A6X75","ANGULO 1/4"" X 3""","0"
"188","ACEROS CORSA, S.A DE C.V","A3X38L","ANGULO 1/8"" X 1 1/2"" LIGERO","0"
"189","ACEROS CORSA, S.A DE C.V","A3X25L","ANGULO 1/8"" X 1"" LIGERO","2"
"190","ACEROS CORSA, S.A DE C.V","A3X25P","ANGULO 1/8"" X 1"" PESADO","0"
"191","ACEROS CORSA, S.A DE C.V","A3X32L","ANGULO 1/8"" X 1""1/4 LIGERO","0"
"192","ACEROS CORSA, S.A DE C.V","A3X50L","ANGULO 1/8"" X 2""","0"
"193","ACEROS CORSA, S.A DE C.V","A3X19","ANGULO 1/8"" X 3/4""","2"
"194","ACEROS CORSA, S.A DE C.V","A5X38","ANGULO 3/16"" X 1 1/2""","1"
"195","ACEROS CORSA, S.A DE C.V","A5X32","ANGULO 3/16"" X 1 1/4""","2"
"196","ACEROS CORSA, S.A DE C.V","A5X44","ANGULO 3/16"" X 1 3/4""","0"
"197","ACEROS CORSA, S.A DE C.V","A5X25","ANGULO 3/16"" X 1""","-0.5"
"198","ACEROS CORSA, S.A DE C.V","A5X50","ANGULO 3/16"" X 2""","3"
"199","ACEROS CORSA, S.A DE C.V","A5X64","ANGULO 3/16"" X 2""1/2","0"
"200","ACEROS CORSA, S.A DE C.V","CANAL150","CANAL ""U ""6"" 6.10 (12.2 KG/MT)","0"
"201","ACEROS CORSA, S.A DE C.V","CANALU75-5.3KG/MTS","CANAL ""U"" 3"" 6.10 (5.30KG/MTS)","10"
"202","ACEROS CORSA, S.A DE C.V","CANALU75","CANAL ""U"" 3"" 6.10 (6.03 KG/ML)","0"
"203","ACEROS CORSA, S.A DE C.V","CANALUL","CANAL ""U"" 4"" 6.10 MTS.(6.70 KG/ML)","1"
"204","ACEROS CORSA, S.A DE C.V","CANALU100","CANAL ""U"" 4"" 6.10 MTS.(8.19 KG/ML)","50"
"205","ACEROS CORSA, S.A DE C.V","CANALU","CANAL ""U"" 6"" (15.63KG./MTS)","11"
"206","ACEROS CORSA, S.A DE C.V","CT13","CARAMELO 1/2""","0"
"207","ACEROS CORSA, S.A DE C.V","CT10","CARAMELO 3/8""","0"
"208","ACEROS CORSA, S.A DE C.V","CT16","CARAMELO 5/8""","1"
"209","ACEROS CORSA, S.A DE C.V","CL38","CUADRADO 1 1/2"" MACIZO","0"
"210","ACEROS CORSA, S.A DE C.V","CL32","CUADRADO 1 1/4"" MACIZO","0"
"211","ACEROS CORSA, S.A DE C.V","CL25","CUADRADO 1"" MACIZO","0"
"213","ACEROS CORSA, S.A DE C.V","CL13","CUADRADO 1/2""","311"
"214","ACEROS CORSA, S.A DE C.V","CL6","CUADRADO 1/4""","0"
"215","ACEROS CORSA, S.A DE C.V","CL50","CUADRADO 2"" MACIZO","0"
"216","ACEROS CORSA, S.A DE C.V","CL19","CUADRADO 3/4""","0"
"217","ACEROS CORSA, S.A DE C.V","CL10","CUADRADO 3/8""","-1774"
"218","ACEROS CORSA, S.A DE C.V","CL16","CUADRADO 5/8""","0"
"219","ACEROS CORSA, S.A DE C.V","CUAE","CUADRADO ESTRELLA","0"
"220","ACEROS CORSA, S.A DE C.V","RED25","REDONDO 1""","16.5"
"221","ACEROS CORSA, S.A DE C.V","RED13","REDONDO 1/2""","671.5"
"222","ACEROS CORSA, S.A DE C.V","RED6","REDONDO 1/4""","4"
"223","ACEROS CORSA, S.A DE C.V","RED5","REDONDO 3/16""","1.5"
"224","ACEROS CORSA, S.A DE C.V","RED19","REDONDO 3/4""","0"
"225","ACEROS CORSA, S.A DE C.V","RED10","REDONDO 3/8""","0.5"
"226","ACEROS CORSA, S.A DE C.V","RED8","REDONDO 5/16""","1"
"227","ACEROS CORSA, S.A DE C.V","RED16","REDONDO 5/8""","3"
"228","ACEROS CORSA, S.A DE C.V","RED38","REDONDO DE 1 1/2""","0"
"229","ACEROS CORSA, S.A DE C.V","RED32","REDONDO DE 1 1/4""","0"
"230","ACEROS CORSA, S.A DE C.V","RED50","REDONDO DE 2""","0"
"231","ACEROS CORSA, S.A DE C.V","RED10P","REDONDO PULIDO 3/8""","0"
"232","ACEROS CORSA, S.A DE C.V","SOL13X38","SOLERA 1/2"" X 1 1/2""","0"
"233","ACEROS CORSA, S.A DE C.V","SOL13X25","SOLERA 1/2"" X 1""","17"
"234","ACEROS CORSA, S.A DE C.V","SOL13X64","SOLERA 1/2"" X 2 1/2""","1"
"235","ACEROS CORSA, S.A DE C.V","SOL13X50","SOLERA 1/2"" X 2""","0"
"236","ACEROS CORSA, S.A DE C.V","SOL13X75","SOLERA 1/2"" X 3""","0"
"237","ACEROS CORSA, S.A DE C.V","SOL6X38","SOLERA 1/4 X 1 1/2""","1"
"238","ACEROS CORSA, S.A DE C.V","SOL6X32","SOLERA 1/4 X 1 1/4""","5"
