"proveedor","codigo","descripcion"
"INFRA, S.A DE C.V","REPVIS","REPUESTO PARA PRO FACIAL(CODIGO-8005)"
"INFRA, S.A DE C.V","SOLFOCOE","SOLD. FO. CO. (ARC.WELD127)1/8"" ECON.(38PZA)(6040)"
"INFRA, S.A DE C.V","ZAP300","ZAPATA 300 AMPS COD.8295"
"INFRA, S.A DE C.V","ZAP500","ZAPATA 500 AMPS COD. 8300 INFRA"
"INTERNACIONAL TOOL COMPANY, S.A DE C.V","AXT-WP26","ANTORCHA P/SOLD. TIG WP26 4.5MTS. AX 200A"
"INTERNACIONAL TOOL COMPANY, S.A DE C.V","AXT-SP250EC","ANTORCHA SPOOL GUN-4MTS. AXT-SP250EC 250 AMP"
"INTERNACIONAL TOOL COMPANY, S.A DE C.V","AXT-BORNEHEM1/2","BORNE HEMBRA 1/2"" (AX-TECH)"
"INTERNACIONAL TOOL COMPANY, S.A DE C.V","AXT-BORNEHEM3/8","BORNE HEMBRA 3/8"" (AX-TECH)"
"LAMINAS Y PERFILES ECOLOGICOS DE MEXICO","CLIP LAM","CLIP LAMBRIN (865274)"
"LAMINAS Y PERFILES ECOLOGICOS DE MEXICO","LI14-8051BH","LAMBRIN INT. GRIS PERLA  8051  2.90 MT. (875723)"
"LAMINAS Y PERFILES ECOLOGICOS DE MEXICO","LI14-8011NO","LAMBRIN INT. NOGAL  8011  2.90 MT. (695840)"
"LAMINAS Y PERFILES ECOLOGICOS DE MEXICO","LI14-8018OX","LAMBRIN INT. OXFORD 8018  2.90 MT. (629258)"
